Company,Role,Location,Application/Link,Work Model,Date Posted
Dept of environment protection,PROJECT MANAGER FOR DESIGN BUILD PROCUREMENT,"New York, NY",,On Site,"Mar 11, 2024"
Dept of health/mental hygiene,Supervising Public Health Advisor,"New York, NY",,,"Sep 24, 2024"
Hra/dept of social services,ASSISTANT MANAGER,"New York, NY",,,"Aug 30, 2024"
Business integrity commission,Executive Agency Counsel,"New York, NY",https://a127-ess.nyc.gov,,"Sep 16, 2024"
Dept of design & construction,Senior Program Coordinator,"New York, NY",https://http://www.nyc.gov,On Site,"Jul 1, 2023"
Office of the comptroller,"Claims Specialist, Level III â Real Property Division","New York, NY",,,"Jan 26, 2024"
Department of transportation,Assistant General Counsel,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Apr 11, 2024"
Dept of health/mental hygiene,"Eyeglass Distribution Supervisor, Bureau of School Health","New York, NY",https://a127-jobs.nyc.gov,,"Jul 16, 2024"
Dept of health/mental hygiene,"Exterminator, Bureau of Veterinary and Pest Control Services","New York, NY",,,"Aug 23, 2024"
Nyc housing authority,Assistant General Counsel and Compliance Officer,"New York, NY",,,"Apr 9, 2024"
Department of transportation,City Laborer,"New York, NY",https://www.nyc.gov,,"Sep 23, 2024"
Nyc fire pension fund,Buyback Processor,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 6, 2024"
Dept of environment protection,SCADA Support Specialist,"New York, NY",,On Site,"Apr 23, 2023"
Dept of environment protection,Chief of Bluebelt Planning and Design,"New York, NY",,,"May 16, 2023"
Dept of health/mental hygiene,"Data/Registration Clerk, Bureau of Public Health Clinics","New York, NY",,,"Oct 9, 2024"
Dept of environment protection,DESIGN ENGINEER INTERN,"New York, NY",,,"Aug 13, 2023"
Department of correction,"Associate Commissioner, Enterprise Development & Architecture","New York, NY",https://www.nyc.gov,,"Mar 3, 2023"
Bronx district attorney,Assistant District Attorney Child Abuse/Sex Crimes Bureau,"New York, NY",,,"Feb 14, 2024"
Department of transportation,Asphalt Laboratory Technician,"New York, NY",https://cityjobs.nyc.gov,On Site,"Jun 5, 2024"
Dept of health/mental hygiene,"Child Care Inspector, Bureau of Childcare","New York, NY",https://a127-jobs.nyc.gov,,"Jul 15, 2024"
Dept of health/mental hygiene,Budget Analyst,"New York, NY",,,"Aug 15, 2024"
Dept of health/mental hygiene,Lead Administrative OTPS Specialist,"New York, NY",,,"Sep 27, 2024"
Dept of environment protection,Review Engineer,"New York, NY",,On Site,"May 10, 2024"
Dept of environment protection,"Environmental, Health and Safety Incident/Workplace Violence Investigator","New York, NY",,On Site,"Feb 15, 2023"
District attorney richmond cou,Criminal Court Deputy Bureau Chief,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 25, 2024"
Office of criminal justice,"Background Review Associate, Assigned Counsel Plan","New York, NY",,,"Jul 15, 2024"
Dept of environment protection,Stationary Engineer (Electric),"New York, NY",,On Site,"Aug 14, 2024"
District attorney-manhattan,Accounts Payable Invoice Assistant,"New York, NY",,,"Nov 19, 2024"
Dept of design & construction,Inspector,"New York, NY",,,"Feb 20, 2024"
Department of city planning,Geographic Data Specialist,"New York, NY",,,"Oct 3, 2024"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Nov 25, 2022"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Jan 2, 2024"
Dept of environment protection,Assistant Process Engineer,"New York, NY",,On Site,"Aug 22, 2022"
Dept of environment protection,DEPUTY PORTFOLIO MANAGER,"New York, NY",,,"Mar 11, 2024"
Department of correction,Executive Director of Policy and Procedures Unit,"New York, NY",https://www.nyc.gov,,"Oct 15, 2024"
Taxi & limousine commission,Application Development Manager,"New York, NY",,On Site,"Aug 23, 2024"
Dept of health/mental hygiene,Forensic Mortuary Technician I,"New York, NY",https://a127-jobs.nyc.gov,,"Nov 8, 2024"
Department of buildings,Construction Inspector,"New York, NY",,,"Nov 1, 2024"
Bronx district attorney,Homicide Assistant District Attorney,"New York, NY",,,"Jul 11, 2022"
Bronx district attorney,Homicide Assistant District Attorney,"New York, NY",,,"Jul 11, 2022"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Jan 2, 2024"
Hra/dept of social services,CASE MANAGEMENT TEAM LEADER,"New York, NY",,,"Nov 4, 2024"
Dept of design & construction,Senior Design Reviewer,"New York, NY",,,"Jan 23, 2024"
Financial info svcs agency,FLEET COORDINATOR,"New York, NY",https://www.nyc.gov,On Site,"Sep 23, 2024"
Dept of environment protection,Health & Safety Specialist,"New York, NY",,,"May 10, 2024"
Dept of design & construction,Engineer-In-Charge,"New York, NY",,,"Sep 20, 2024"
Hra/dept of social services,PAYROLL EXAMINER,"New York, NY",,On Site,"Oct 22, 2024"
Hra/dept of social services,DEPUTY REGIONAL MANAGER,"New York, NY",,,"Jan 26, 2024"
Dept of environment protection,Machinist,"New York, NY",,On Site,"Jun 15, 2023"
Bronx district attorney,Supervisor of Onboarding,"New York, NY",https://www.nyc.gov,,"Dec 4, 2023"
Campaign finance board,SENIOR CANDIDATE SERVICES LIAISON,"New York, NY",,,"Sep 27, 2024"
Dept of health/mental hygiene,"Public Health Advisor, Bureau of Hepatitis, HIV, and STI","New York, NY",,,"Jul 22, 2024"
Nyc housing authority,CARETAKER X (HA),"New York, NY",,,"Nov 14, 2024"
Dept of design & construction,Resident Engineer,"New York, NY",,,"May 24, 2024"
Hra/dept of social services,PROGRAM ANALYST,"New York, NY",,On Site,"Jan 12, 2024"
Human rights commission,TIMEKEEPING & ABSENCE CONTROL ASSOCIATE,"New York, NY",,,"Jul 1, 2024"
Dept of environment protection,EHS Training Specialist,"New York, NY",,,"Jul 30, 2024"
Department of transportation,Assistant Commissioner for Transit Development,"New York, NY",https://www.nyc.gov,,"Apr 1, 2024"
Dept of environment protection,Assistant Civil Engineer,"New York, NY",,,"Jul 14, 2023"
Dept of design & construction,Geotechnical Project Manager,"New York, NY",https://www.nyc.gov,On Site,"May 16, 2023"
Dept of design & construction,Deputy Director,"New York, NY",,,"Jun 21, 2024"
Dept of environment protection,Gardener II,"New York, NY",,,"Apr 2, 2024"
Department of transportation,Environmental & Safety Coordinator,"New York, NY",https://hrb.nycaps.nycnet,,"Jun 24, 2023"
Dept of health/mental hygiene,Evidence and Property Control Specialist I,"New York, NY",https://a127-jobs.nyc.gov,,"Aug 23, 2024"
Hra/dept of social services,AGENCY ATTORNEY INTERNE,"New York, NY",,,"Apr 5, 2024"
Dept of environment protection,Supv. Of Mechanics (Mech Equip),"New York, NY",,On Site,"Dec 20, 2022"
Dept of health/mental hygiene,"Assistant Director of Programmatic Fiscal Affairs, Bureau of Controller","New York, NY",https://a127-jobs.nyc.gov,,"May 16, 2024"
Dept of environment protection,ASSOC. PROJECT MANAGER,"New York, NY",,,"Oct 6, 2023"
Dept of health/mental hygiene,"Community Planner, HIV Planning Council, Bureau of Division Management & Systems Coordination","New York, NY",,,"Sep 26, 2024"
Bronx district attorney,Law School Summer (2L) Intern,"New York, NY",,,"Aug 2, 2024"
Law department,"Assistant Corporation Counsel, Tort Division","New York, NY",,,"Jul 31, 2024"
Dept of environment protection,EEO Investigator Specialist,"New York, NY",https://www1.nyc.gov,On Site,"Jul 14, 2023"
Dept of environment protection,Section Chief of Lifecycle Management,"New York, NY",,On Site,"Nov 15, 2022"
Dept of environment protection,CIVIL ENGINEER II,"New York, NY",,On Site,"Jan 11, 2023"
Hra/dept of social services,LEAVE OF ABSENCE ASSISTANT,"New York, NY",,On Site,"Jun 6, 2024"
Dept of health/mental hygiene,"Senior Data Analyst, Bureau of Vital Statistics","New York, NY",,,"Oct 22, 2024"
Dept of health/mental hygiene,"Exterminator, Bureau of Veterinary and Pest Control Services","New York, NY",https://a127-jobs.nyc.gov,,"Jun 13, 2024"
Dept of environment protection,Associate Project Manager,"New York, NY",,On Site,"Feb 19, 2023"
Off of payroll administration,Mailroom Associate,"New York, NY",,,"Aug 2, 2024"
Department of transportation,Project Manager,"New York, NY",https://hrb.nycaps.nycnet,,"Jan 18, 2024"
Department of correction,Supervising Investigator,"New York, NY",https://www.nyc.gov,,"Nov 7, 2024"
Dept of environment protection,Construction Project Manager III - Lead Water Service Line Replacement Program,"New York, NY",,,"Aug 14, 2024"
Dept of environment protection,Assistant Civil Engineer,"New York, NY",,,"Jun 27, 2022"
Dept of health/mental hygiene,Early Childhood Education Consultant,"New York, NY",,,"Nov 18, 2024"
Dept of design & construction,Inspector,"New York, NY",,,"Feb 20, 2024"
Dept of health/mental hygiene,"Supervising Special Officer, Bureau of Operations","New York, NY",https://a127-jobs.nyc.gov,,"Jun 18, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"Oct 3, 2023"
District attorney-manhattan,Counter Terrorism Analyst,"New York, NY",,,"Aug 27, 2024"
Department of correction,Investigator,"New York, NY",https://www.nyc.gov,,"Sep 25, 2024"
Dept of environment protection,Assistant Civil Engineer,"New York, NY",,,"May 22, 2024"
Hra/dept of social services,SYSTEM ANALYST,"New York, NY",,On Site,"Nov 8, 2023"
Dept of health/mental hygiene,"Policy Manager, Bureau of Equitable Health Systems","New York, NY",,,"Sep 26, 2024"
Hra/dept of social services,SECTION MANAGER,"New York, NY",,,"Nov 22, 2024"
Dept of design & construction,Junior Project Manager,"New York, NY",,,"Jul 2, 2024"
Admin for children's svcs,FTC Manager,"New York, NY",,,"Oct 30, 2024"
Department of business serv.,"Director, Regulatory Reform and Customer Support","New York, NY",https://www.nyc.gov,,"Sep 30, 2024"
Hra/dept of social services,HUMAN SERVICES PAYMENT ANALYST,"New York, NY",,On Site,"Nov 22, 2024"
Dept of environment protection,Chief of Personnel Services,"New York, NY",,On Site,"Feb 1, 2024"
Department of transportation,Civil Engineer 2,"New York, NY",https://www.nyc.gov,On Site,"Jun 15, 2023"
Dept of health/mental hygiene,"Fieldwork Intern, Bureau of Public Health Clinics","New York, NY",,,"Oct 4, 2024"
Dept of environment protection,"Director, Office of Performance & Program Management","New York, NY",https://www1.nyc.gov,On Site,"Aug 19, 2024"
Dept of environment protection,Assistant Commissioner,"New York, NY",,On Site,"Oct 6, 2023"
Dept of health/mental hygiene,".NET Developer,  Bureau of Application Development and Database Administration","New York, NY",https://a127-jobs.nyc.gov,,"Mar 22, 2024"
Dept of environment protection,Computer Associate Software,"New York, NY",,On Site,"Oct 11, 2024"
Dept of design & construction,Engineer-In-Charge,"New York, NY",,,"May 22, 2024"
Dept of design & construction,Expense Payment Analyst,"New York, NY",,,"Aug 30, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Aug 21, 2024"
Department of correction,"Associate Commissioner, Operations","New York, NY",https://www.nyc.gov,,"Jan 22, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Apr 30, 2024"
Bronx district attorney,Civil Litigation Bureau / FOIL Unit: Assistant District Attorney,"New York, NY",,,"Oct 4, 2024"
Dept of health/mental hygiene,"Public Health Advisor I, Bureau of Hepatitis, HIV, and STI","New York, NY",https://a127-jobs.nyc.gov,,"Feb 22, 2024"
Dept of environment protection,SCADA Support Specialist,"New York, NY",,On Site,"Apr 23, 2023"
Department of transportation,BOB- Civil Engineer II,"New York, NY",https://www.nyc.gov,On Site,"Aug 3, 2024"
Dept of environment protection,Area Engineer,"New York, NY",,On Site,"Sep 30, 2022"
Department of transportation,BOB-Administrative Engineer N/M,"New York, NY",https://www.nyc.gov,On Site,"Apr 28, 2024"
Dept of health/mental hygiene,"Personnel Coordinator, Bureau of Mental Hygiene Administration","New York, NY",,,"Oct 16, 2024"
Bronx district attorney,Trial Division-Trial Preparation Assistant LV II,"New York, NY",https://www.nyc.gov,,"Oct 16, 2023"
Dept of health/mental hygiene,"Public Health Advisor II, Bureau of Hepatitis, HIV, and STI","New York, NY",https://a127-jobs.nyc.gov,,"Jun 13, 2024"
Dept of environment protection,Policy Analyst,"New York, NY",,On Site,"Sep 24, 2024"
Dept. of homeless services,Sheet Metal Worker,"New York, NY",,On Site,"Jun 16, 2023"
Hra/dept of social services,MEDICAID ELIGIBILITY SPECIALIST,"New York, NY",,,"Sep 12, 2024"
Hra/dept of social services,STOCK WORKER II,"New York, NY",,On Site,"Jul 17, 2024"
Dept of health/mental hygiene,"Laboratory Associate, Bureau of the Public Health Laboratory","New York, NY",,,"Oct 29, 2024"
Dept of health/mental hygiene,"Action Center Navigator, Brooklyn Neighborhood Health","New York, NY",,,"Sep 16, 2024"
Dept of health/mental hygiene,"Associate Laboratory Microbiologist I, Bureau of the Public Health Laboratory","New York, NY",https://a127-jobs.nyc.gov,,"Dec 13, 2023"
Dept of environment protection,ACCOUNTABLE MANAGER,"New York, NY",,,"Apr 30, 2024"
Admin for children's svcs,Audit Supervisor,"New York, NY",,,"Nov 21, 2024"
Admin for children's svcs,Family Visiting Spec. Supervisor,"New York, NY",,,"Nov 20, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Apr 2, 2024"
Dept of youth & comm dev srvs,Field Operations Monitor,"New York, NY",https://www.nyc.gov,On Site,"Jul 5, 2024"
Department of transportation,Accountant,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Sep 19, 2022"
Dept of health/mental hygiene,"Case Manager, Bureau of Tuberculosis Control","New York, NY",,,"Sep 26, 2024"
Hra/dept of social services,DATA CONTROL SUPERVISOR,"New York, NY",,,"Feb 22, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"Oct 4, 2024"
Dept of environment protection,Assistant Environmental Engineer - Project Manager,"New York, NY",,,"Oct 28, 2024"
Dept of environment protection,DEPUTY PORTFOLIO MANAGER,"New York, NY",,,"Jul 30, 2024"
Housing preservation & dvlpmnt,Digital Support Specialist for the Division of Budget and Program Operations,"New York, NY",,,"Nov 25, 2024"
Admin for children's svcs,Contract Manager,"New York, NY",https://www.nyc.gov,,"May 12, 2023"
Dept of design & construction,Surveyor,"New York, NY",,,"Mar 26, 2024"
Department of transportation,Elementary School Team Leader,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Jun 24, 2023"
Housing preservation & dvlpmnt,Product Operations Manager,"New York, NY",,,"Oct 15, 2024"
Dept of design & construction,Coordinator (Sustainability),"New York, NY",,,"May 7, 2024"
Dept of health/mental hygiene,Intra-Agency Emergency Preparedness and Response Coordinator,"New York, NY",,,"Oct 1, 2024"
Dept of design & construction,Senior Design Reviewer,"New York, NY",,,"Jun 25, 2024"
Hra/dept of social services,ASSISTANT MANAGER,"New York, NY",,,"Aug 30, 2024"
Dept of environment protection,"Environmental, Health & Safety Specialist","New York, NY",,,"Jun 13, 2024"
Hra/dept of social services,SENIOR BI SYSTEMS DEVELOPER,"New York, NY",,On Site,"Oct 16, 2024"
Hra/dept of social services,Unit Clerk,"New York, NY",,,"May 17, 2024"
Dept of environment protection,Engineer-in-Charge of Shaft Maintenance,"New York, NY",,,"Aug 9, 2022"
Department of transportation,Grant Reimbursement Analyst,"New York, NY",https://cityjobs.nyc.gov,On Site,"Nov 3, 2024"
Hra/dept of social services,UNIT SUPERVISOR,"New York, NY",,,"Aug 9, 2024"
Dept of health/mental hygiene,"Team Lead, Surveillance, Bureau of Tuberculosis Control","New York, NY",,,"Nov 25, 2024"
Hra/dept of social services,SECTION SUPERVISOR,"New York, NY",,,"Mar 18, 2024"
Housing preservation & dvlpmnt,Housing Inspector,"New York, NY",,,"Apr 28, 2022"
Dept of environment protection,DEPUTY PORTFOLIIO MANAGER,"New York, NY",,,"Sep 23, 2024"
Hra/dept of social services,BUSINESS INTELLIGENCE SPECIALIST,"New York, NY",,,"Jul 13, 2022"
Nyc housing authority,Plumber,"New York, NY",,,"Apr 13, 2022"
Dept of design & construction,Senior Project Manager (Environmental),"New York, NY",https://http://www.nyc.gov,On Site,"May 11, 2023"
Dept of design & construction,Senior Design Reviewer (Mechanical),"New York, NY",,,"Jul 17, 2024"
Nyc housing authority,Neighborhood Contract Manager,"New York, NY",,,"Sep 13, 2024"
Dept of design & construction,Senior Design Reviewer (Electrical),"New York, NY",,,"Jul 2, 2024"
Department of transportation,Oiler,"New York, NY",https://www.nyc.dot.gov,,"Oct 26, 2024"
Dept of health/mental hygiene,"Senior Data Analyst, Bureau of Vital Statistics","New York, NY",,,"Oct 22, 2024"
Dept of environment protection,ASSISTANT PROJECT MANAGER,"New York, NY",,,"Apr 2, 2024"
Dept of design & construction,Executive Director,"New York, NY",,,"Feb 28, 2024"
Dept of design & construction,Director,"New York, NY",,,"Jul 5, 2024"
Dept of design & construction,Surveyor (Electrical),"New York, NY",,,"Jun 25, 2024"
Hra/dept of social services,CASE MANAGEMENT SUPERVISOR,"New York, NY",,,"Nov 15, 2024"
Department of transportation,Summer Intern,"New York, NY",https://www.nyc.gov,On Site,"Apr 12, 2023"
Department of transportation,Senior Planner,"New York, NY",https://hrb.nycaps.nycnet,On Site,"Oct 29, 2024"
